Ad_ID;Campaign_Name;Clicks;Impressions;Cost;Leads;Conversions;Conversion Rate;Sale_Amount;Ad_Date;Location;Device;Keyword
A1641;Data Analytics Course;820;34540;22802;300;70;49;1463;09/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1642;Data Analytics Course;1350;34490;20006;170;50;37;1950;07/11/2024;Hyderabad;Mobile;Data Analytics Course
A1643;Data Analytics Course;1990;42870;23558;120;100;5;1276;10/11/2024;Hyderabad;Tablet;Data Analytics Course
A1644;Data Analytics Course;1230;50000;18767;250;30;24;1351;07/11/2024;Hyderabad;Tablet;Data Analitics Online
A1645;Data Analytics Course;1540;34370;21163;280;40;26;1604;14/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1646;Data Analytics Course;880;34750;19196;120;70;8;1204;25/11/2024;Hyderabad;Desktop;Online Data Analytic
A1647;Data Analytics Course;1650;48890;18019;210;40;24;1458;19/11/2024;Hyderabad;Mobile;Analytics For Data
A1648;Data Analytics Course;870;36390;22076;220;30;36;1231;14/11/2024;Hyderabad;Mobile;Analytics For Data
A1649;Data Analytics Course;1470;39590;18118;270;90;61;1627;26/11/2024;Hyderabad;Mobile;Analytics For Data
A1650;Data Analytics Course;1370;54000;18004;100;100;73;1375;29/11/2024;Hyderabad;Tablet;Analytics For Data
A1651;Data Analytics Course;1880;55280;24503;130;100;53;1202;29/11/2024;Hyderabad;Desktop;Analytics For Data
A1652;Data Analytics Course;1620;54560;19369;100;60;37;1992;29/11/2024;Hyderabad;Tablet;Online Data Analytic
A1653;Data Analytics Course;1020;43080;22154;130;70;6;1096;08/11/2024;Hyderabad;Mobile;Data Analitics Online
A1654;Data Analytics Course;1200;32450;19609;150;90;75;1056;22/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1655;Data Analytics Course;1250;33390;20532;180;40;54;1985;28/11/2024;Hyderabad;Desktop;Data Analytics Course
A1657;Data Analytics Course;1370;42310;22649;250;50;36;1078;12/11/2024;Hyderabad;Tablet;Analytics For Data
A1658;Data Analytics Course;910;45060;19599;120;30;45;1179;22/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1659;Data Analytics Course;870;48690;22097;290;50;57;1480;05/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1661;Data Analytics Course;1280;32430;20841;140;60;37;1514;02/11/2024;Hyderabad;Mobile;Online Data Analytic
A1663;Data Analytics Course;890;39820;20987;270;70;79;1920;04/11/2024;Hyderabad;Desktop;Data Analytics Course
A1666;Data Analytics Course;1100;59250;18818;290;90;82;1682;23/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1667;Data Analytics Course;850;40100;19526;170;40;42;1853;06/11/2024;Hyderabad;Mobile;Data Analitics Online
A1670;Data Analytics Course;1290;37870;22981;100;60;47;1221;13/11/2024;Hyderabad;Desktop;Online Data Analytic
A1671;Data Analytics Course;1120;48340;21227;110;70;62;1524;27/11/2024;Hyderabad;Mobile;Data Analitics Online
A1672;Data Analytics Course;1040;30310;18847;130;60;43;1998;05/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1673;Data Analytics Course;1320;37540;18088;210;100;76;1601;24/11/2024;Hyderabad;Mobile;Online Data Analytic
A1676;Data Analytics Course;1440;50260;23182;140;40;28;1645;10/11/2024;Hyderabad;Desktop;Data Analytics Course
A1677;Data Analytics Course;1790;50910;23862;100;60;34;1259;24/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1679;Data Analytics Course;1160;45380;22174;230;90;78;1639;24/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1680;Data Analytics Course;890;35090;19214;270;90;101;1564;12/11/2024;Hyderabad;Mobile;Online Data Analytic
A1681;Data Analytics Course;960;33460;24848;150;70;73;1118;28/11/2024;Hyderabad;Desktop;Data Analitics Online
A1682;Data Analytics Course;1930;47060;21341;240;80;46;1058;09/11/2024;Hyderabad;Desktop;Data Analytics Course
A1683;Data Analytics Course;1220;38960;1943;230;30;25;1355;21/11/2024;Hyderabad;Mobile;Data Analytics Course
A1685;Data Analytics Course;1770;57380;24921;110;70;4;1435;16/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1686;Data Analytics Course;1620;53460;22312;250;50;31;1052;28/11/2024;Hyderabad;Desktop;Data Analytics Course
A1687;Data Analytics Course;1820;58570;19269;150;40;48;1384;02/11/2024;Hyderabad;Desktop;Data Analytics Course
A1689;Data Analytics Course;1040;52910;18693;190;100;96;1805;29/11/2024;Hyderabad;Tablet;Data Analytics Course
A1690;Data Analytics Course;1010;48400;23068;210;90;89;1556;22/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1691;Data Analytics Course;1730;42460;20295;270;30;17;1276;29/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1693;Data Analytics Course;1480;59520;18632;140;40;44;1469;10/11/2024;Hyderabad;Mobile;Data Analytics Course
A1697;Data Analytics Course;900;45660;22882;290;90;51;1697;13/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1699;Data Analytics Course;1700;50530;21741;160;90;31;1497;17/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1700;Data Analytics Course;1120;50930;2288;230;70;62;1188;17/11/2024;Hyderabad;Desktop;Analytics For Data
A1701;Data Analytics Course;1880;53360;18873;170;30;16;1601;03/11/2024;Hyderabad;Tablet;Online Data Analytic
A1704;Data Analytics Course;1770;49010;21754;200;100;56;1975;13/11/2024;Hyderabad;Tablet;Data Analitics Online
A1705;Data Analytics Course;1500;52750;1927;140;40;27;1170;27/11/2024;Hyderabad;Tablet;Data Analitics Online
A1706;Data Analytics Course;880;52250;20297;220;60;68;1128;13/11/2024;Hyderabad;Tablet;Online Data Analytic
A1707;Data Analytics Course;1280;48570;21261;140;50;39;1538;25/11/2024;Hyderabad;Desktop;Data Analitics Online
A1708;Data Analytics Course;1630;53100;24276;260;90;55;1793;12/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1709;Data Analytics Course;1470;50140;19308;120;80;54;1017;11/11/2024;Hyderabad;Tablet;Online Data Analytic
A1710;Data Analytics Course;1910;58550;19654;290;30;16;1085;21/11/2024;Hyderabad;Desktop;Data Analytics Course
A1712;Data Analytics Course;1150;39520;22918;250;40;35;1440;20/11/2024;Hyderabad;Tablet;Online Data Analytic
A1713;Data Analytics Course;1230;42080;21292;290;60;49;1184;05/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1715;Data Analytics Course;1260;54600;21083;240;100;79;1326;14/11/2024;Hyderabad;Tablet;Online Data Analytic
A1716;Data Analytics Course;1100;31590;19792;260;100;91;1608;18/11/2024;Hyderabad;Mobile;Data Analitics Online
A1717;Data Analytics Course;1900;55450;22396;130;70;37;1344;14/11/2024;Hyderabad;Tablet;Analytics For Data
A1718;Data Analytics Course;1480;36680;24579;150;100;68;1718;25/11/2024;Hyderabad;Desktop;Data Analytics Course
A1719;Data Analytics Course;860;56630;23179;190;100;116;1547;17/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1721;Data Analytics Course;1430;56380;22941;230;40;58;1398;03/11/2024;Hyderabad;Desktop;Online Data Analytic
A1722;Data Analytics Course;1720;44360;23216;210;70;41;1050;27/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1723;Data Analytics Course;1380;55550;18855;140;80;58;1593;24/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1727;Data Analytics Course;1260;34230;23621;250;90;71;1106;20/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1728;Data Analytics Course;1380;40250;22096;210;70;51;1416;24/11/2024;Hyderabad;Tablet;Data Analitics Online
A1729;Data Analytics Course;1930;38000;19976;270;90;47;1393;17/11/2024;Hyderabad;Mobile;Data Analytics Course
A1730;Data Analytics Course;1560;52930;21043;260;60;38;1449;28/11/2024;Hyderabad;Tablet;Data Analytics Course
A1731;Data Analytics Course;1420;35650;18039;260;50;35;1147;01/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1734;Data Analytics Course;1340;48540;19893;210;80;6;1101;03/11/2024;Hyderabad;Desktop;Analytics For Data
A1737;Data Analytics Course;1600;34480;21038;190;70;44;1705;14/11/2024;Hyderabad;Desktop;Data Analytics Course
A1738;Data Analytics Course;1460;52970;19889;300;80;55;2000;02/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1739;Data Analytics Course;1750;38180;19089;300;100;39;1088;10/11/2024;Hyderabad;Tablet;Data Analitics Online
A1740;Data Analytics Course;1220;47910;22316;120;40;33;1246;05/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1741;Data Analytics Course;850;37130;22574;230;50;47;1867;24/11/2024;Hyderabad;Tablet;Data Analitics Online
A1742;Data Analytics Course;1670;36340;20275;300;100;6;1503;23/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1745;Data Analytics Course;1110;30500;20887;100;70;63;1774;26/11/2024;Hyderabad;Tablet;Analytics For Data
A1747;Data Analytics Course;1770;30420;23964;260;40;23;1646;20/11/2024;Hyderabad;Mobile;Data Analytics Course
A1748;Data Analytics Course;1500;52720;23906;130;90;6;1232;01/11/2024;Hyderabad;Desktop;Online Data Analytic
A1749;Data Analytics Course;1600;42790;19156;220;100;39;1234;12/11/2024;Hyderabad;Mobile;Data Analytics Course
A1750;Data Analytics Course;1470;56590;18807;220;40;45;1796;25/11/2024;Hyderabad;Mobile;Analytics For Data
A1751;Data Analytics Course;1980;48160;22496;210;40;42;1601;05/11/2024;Hyderabad;Mobile;Online Data Analytic
A1753;Data Analytics Course;940;52210;22523;170;30;36;1209;19/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1754;Data Analytics Course;900;58590;18729;170;50;56;1375;16/11/2024;Hyderabad;Mobile;Analytics For Data
A1755;Data Analytics Course;1820;50550;23264;260;80;36;1815;10/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1758;Data Analytics Course;1030;35470;23235;110;80;78;1663;26/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1759;Data Analytics Course;1480;31280;19702;270;90;61;1214;12/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1760;Data Analytics Course;1510;52010;19856;150;100;66;1716;05/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1761;Data Analytics Course;1480;55100;21042;270;40;48;1352;06/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1762;Data Analytics Course;1030;56280;1956;240;80;34;1065;09/11/2024;Hyderabad;Mobile;Analytics For Data
A1763;Data Analytics Course;1150;54450;18355;210;70;59;1721;07/11/2024;Hyderabad;Tablet;Data Analytics Course
A1765;Data Analytics Course;1660;58080;19479;140;80;48;1799;14/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1766;Data Analytics Course;1870;32820;23491;100;70;41;1525;29/11/2024;Hyderabad;Mobile;Online Data Analytic
A1768;Data Analytics Course;1720;55460;24181;240;100;58;1681;03/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1769;Data Analytics Course;1870;57340;18744;100;80;43;1183;23/11/2024;Hyderabad;Tablet;Analytics For Data
A1770;Data Analytics Course;1960;49640;24947;260;90;46;1996;19/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1772;Data Analytics Course;1030;52440;2059;220;70;32;1954;16/11/2024;Hyderabad;Mobile;Analytics For Data
A1773;Data Analytics Course;1140;30640;19601;230;60;53;1348;30/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1774;Data Analytics Course;1160;32650;19921;240;100;86;1006;21/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1775;Data Analytics Course;1640;53510;2179;100;90;55;1431;12/11/2024;Hyderabad;Tablet;Online Data Analytic
A1777;Data Analytics Course;1120;48080;22157;170;70;62;1186;25/11/2024;Hyderabad;Desktop;Data Analitics Online
A1780;Data Analytics Course;1390;57630;21449;150;50;45;1781;01/11/2024;Hyderabad;Desktop;Data Analitics Online
A1781;Data Analytics Course;1930;32710;18776;300;90;53;1209;13/11/2024;Hyderabad;Tablet;Online Data Analytic
A1785;Data Analytics Course;1970;43730;2183;180;90;59;1988;14/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1787;Data Analytics Course;960;55030;24351;110;60;62;1687;02/11/2024;Hyderabad;Desktop;Data Analitics Online
A1790;Data Analytics Course;1710;55170;23386;230;50;29;1349;24/11/2024;Hyderabad;Tablet;Data Analytics Course
A1792;Data Analytics Course;1030;53320;24372;160;30;29;1882;28/11/2024;Hyderabad;Desktop;Online Data Analytic
A1793;Data Analytics Course;1670;36200;24381;240;80;53;1001;05/11/2024;Hyderabad;Desktop;Data Analytics Course
A1794;Data Analytics Course;1320;41170;23904;280;30;23;1761;07/11/2024;Hyderabad;Mobile;Analytics For Data
A1796;Data Analytics Course;1400;52200;18339;250;80;57;1918;11/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1798;Data Analytics Course;870;40810;18063;200;40;46;1665;08/11/2024;Hyderabad;Tablet;Data Analitics Online
A1799;Data Analytics Course;1410;42390;19982;150;50;35;1639;27/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1801;Data Analytics Course;950;57210;20853;160;60;63;1863;05/11/2024;Hyderabad;Mobile;Data Analytics Course
A1802;Data Analytics Course;1600;51660;21021;200;70;44;1850;21/11/2024;Hyderabad;Desktop;Data Analytics Course
A1803;Data Analytics Course;1330;54300;21734;160;60;45;1199;14/11/2024;Hyderabad;Mobile;Data Analitics Online
A1804;Data Analytics Course;1540;34520;21561;210;70;58;1631;02/11/2024;Hyderabad;Mobile;Analytics For Data
A1807;Data Analytics Course;1010;57570;24933;250;90;35;1129;01/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1808;Data Analytics Course;1500;33230;22755;140;40;27;1931;18/11/2024;Hyderabad;Mobile;Data Analytics Course
A1809;Data Analytics Course;1270;54170;22906;260;80;63;1086;21/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1810;Data Analytics Course;1170;54450;2139;100;50;43;1804;19/11/2024;Hyderabad;Desktop;Data Analytics Course
A1811;Data Analytics Course;1520;51730;23047;150;50;36;1779;26/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1813;Data Analytics Course;1810;38630;18012;170;70;35;1892;28/11/2024;Hyderabad;Desktop;Data Analytics Course
A1815;Data Analytics Course;1730;54630;23238;170;50;29;1568;26/11/2024;Hyderabad;Desktop;Analytics For Data
A1816;Data Analytics Course;1230;34590;21188;210;40;33;1223;24/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1817;Data Analytics Course;1620;39060;23724;130;50;33;1062;10/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1819;Data Analytics Course;1690;33170;23235;290;30;49;1988;24/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1822;Data Analytics Course;1670;44030;18936;250;40;3;1572;06/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1824;Data Analytics Course;1290;46790;23921;190;30;23;1215;04/11/2024;Hyderabad;Mobile;Data Analitics Online
A1827;Data Analytics Course;1080;55450;20982;110;80;74;1491;08/11/2024;Hyderabad;Mobile;Analytics For Data
A1828;Data Analytics Course;850;47720;21162;150;100;118;1669;19/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1829;Data Analytics Course;1090;49410;24254;180;90;83;1278;11/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1831;Data Analytics Course;1430;55260;18594;150;80;56;1712;25/11/2024;Hyderabad;Desktop;Analytics For Data
A1832;Data Analytics Course;1610;53020;18429;130;80;36;1703;30/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1833;Data Analytics Course;1460;44240;19688;200;30;21;1757;30/11/2024;Hyderabad;Tablet;Online Data Analytic
A1834;Data Analytics Course;820;59710;23552;140;80;98;1568;06/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1835;Data Analytics Course;880;37330;24435;120;80;91;1622;27/11/2024;Hyderabad;Mobile;Online Data Analytic
A1836;Data Analytics Course;1270;44030;2443;150;70;55;1832;22/11/2024;Hyderabad;Tablet;Data Analytics Course
A1837;Data Analytics Course;1790;51180;18959;150;60;34;1892;28/11/2024;Hyderabad;Tablet;Data Analytics Course
A1838;Data Analytics Course;1990;44070;24005;210;90;45;1054;13/11/2024;Hyderabad;Desktop;Data Analitics Online
A1842;Data Analytics Course;1780;41030;20723;170;80;45;1612;15/11/2024;Hyderabad;Mobile;Analytics For Data
A1843;Data Analytics Course;1570;44140;24057;170;90;57;1483;27/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1845;Data Analytics Course;1920;33200;20809;170;30;16;1169;18/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1846;Data Analytics Course;1440;41460;2461;180;100;69;1074;15/11/2024;Hyderabad;Desktop;Analytics For Data
A1849;Data Analytics Course;1930;58990;22724;120;90;42;1832;02/11/2024;Hyderabad;Desktop;Analytics For Data
A1850;Data Analytics Course;1700;49680;21678;210;50;45;1997;24/11/2024;Hyderabad;Tablet;Data Analytics Course
A1852;Data Analytics Course;1330;40780;18942;210;60;45;1969;21/11/2024;Hyderabad;Desktop;Data Analitics Online
A1853;Data Analytics Course;820;41630;20808;300;80;98;1297;04/11/2024;Hyderabad;Mobile;Data Analytics Course
A1854;Data Analytics Course;900;43300;24924;200;40;44;1618;15/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1855;Data Analytics Course;1220;58820;18976;250;70;57;1357;25/11/2024;Hyderabad;Tablet;Analytics For Data
A1858;Data Analytics Course;910;56090;22827;120;100;11;1098;11/11/2024;Hyderabad;Desktop;Analytics For Data
A1859;Data Analytics Course;1680;43900;19552;220;100;6;1553;04/11/2024;Hyderabad;Desktop;Data Analytics Course
A1860;Data Analytics Course;1620;47740;2108;200;70;43;1387;29/11/2024;Hyderabad;Tablet;Analytics For Data
A1861;Data Analytics Course;1300;57870;21879;130;100;77;1679;09/11/2024;Hyderabad;Mobile;Online Data Analytic
A1863;Data Analytics Course;1420;42230;22228;270;50;38;1506;07/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1865;Data Analytics Course;1860;39880;23769;150;50;27;1603;14/11/2024;Hyderabad;Tablet;Data Analytics Course
A1866;Data Analytics Course;1700;34370;23208;230;50;29;1405;29/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1867;Data Analytics Course;850;37180;22414;210;60;71;1938;04/11/2024;Hyderabad;Desktop;Online Data Analytic
A1869;Data Analytics Course;1670;51700;24121;240;40;38;1515;21/11/2024;Hyderabad;Mobile;Data Analytics Course
A1870;Data Analytics Course;1130;59160;23458;180;50;44;1165;12/11/2024;Hyderabad;Mobile;Data Analytics Course
A1873;Data Analytics Course;1940;53090;1914;190;100;46;1764;13/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1875;Data Analytics Course;820;46220;20399;170;90;11;1375;12/11/2024;Hyderabad;Mobile;Online Data Analytic
A1877;Data Analytics Course;1790;49920;22148;270;100;37;1062;06/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1878;Data Analytics Course;930;30150;23201;210;40;43;1770;26/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1879;Data Analytics Course;1520;46620;24913;240;70;46;1951;11/11/2024;Hyderabad;Desktop;Online Data Analytic
A1880;Data Analytics Course;810;37660;21312;270;70;86;1183;27/11/2024;Hyderabad;Desktop;Online Data Analytic
A1881;Data Analytics Course;1300;57740;24197;110;70;44;1708;20/11/2024;Hyderabad;Desktop;Data Analytics Course
A1882;Data Analytics Course;1100;45420;22795;200;40;36;1423;11/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1884;Data Analytics Course;1130;52650;18421;270;50;44;1353;20/11/2024;Hyderabad;Tablet;Data Analitics Online
A1885;Data Analytics Course;1400;52970;2239;280;60;43;1630;21/11/2024;Hyderabad;Mobile;Data Analytics Course
A1887;Data Analytics Course;1760;59600;24533;190;80;45;1761;25/11/2024;Hyderabad;Tablet;Analytics For Data
A1889;Data Analytics Course;1950;52650;2420;100;40;54;1699;08/11/2024;Hyderabad;Tablet;Online Data Analytic
A1890;Data Analytics Course;1620;43960;18396;180;40;43;1054;18/11/2024;Hyderabad;Tablet;Data Analitics Online
A1892;Data Analytics Course;1770;39650;22582;150;40;23;1530;22/11/2024;Hyderabad;Mobile;Online Data Analytic
A1893;Data Analytics Course;1590;33660;21727;210;70;44;1515;17/11/2024;Hyderabad;Tablet;Online Data Analytic
A1897;Data Analytics Course;1640;38510;21915;220;60;49;1487;09/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1898;Data Analytics Course;1200;34640;2283;190;40;58;1426;22/11/2024;Hyderabad;Tablet;Online Data Analytic
A1901;Data Analytics Course;1430;41430;19168;200;50;35;1460;30/11/2024;Hyderabad;Tablet;Analytics For Data
A1902;Data Analytics Course;1760;57680;23894;140;80;45;1016;02/11/2024;Hyderabad;Tablet;Data Analitics Online
A1903;Data Analytics Course;1510;44080;21429;200;50;33;1900;21/11/2024;Hyderabad;Desktop;Data Analytics Course
A1904;Data Analytics Course;1340;36230;22165;190;50;47;1937;24/11/2024;Hyderabad;Desktop;Data Analitics Online
A1905;Data Analytics Course;1910;30570;22328;270;60;31;1208;03/11/2024;Hyderabad;Desktop;Data Analitics Online
A1908;Data Analytics Course;1690;36190;24666;280;30;18;1354;25/11/2024;Hyderabad;Desktop;Online Data Analytic
A1909;Data Analytics Course;1720;46960;24217;260;30;17;1719;06/11/2024;Hyderabad;Desktop;Data Analytics Course
A1912;Data Analytics Course;1080;59490;18425;230;80;74;1986;23/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1917;Data Analytics Course;1220;45250;20289;230;80;34;1499;22/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1918;Data Analytics Course;1750;48500;18625;280;100;57;1978;18/11/2024;Hyderabad;Desktop;Analytics For Data
A1919;Data Analytics Course;1230;49380;18064;240;90;73;1746;21/11/2024;Hyderabad;Tablet;Data Analytics Course
A1920;Data Analytics Course;1350;57480;23922;200;70;51;1222;21/11/2024;Hyderabad;Tablet;Analytics For Data
A1926;Data Analytics Course;1480;45140;20354;230;30;47;1622;05/11/2024;Hyderabad;Desktop;Data Analitics Online
A1927;Data Analytics Course;960;34680;22841;160;90;94;1035;04/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1929;Data Analytics Course;1150;32340;22777;300;30;26;1272;13/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1930;Data Analytics Course;1350;54360;24586;280;90;67;1453;03/11/2024;Hyderabad;Desktop;Data Analitics Online
A1935;Data Analytics Course;1490;34710;24214;230;40;27;1937;19/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1937;Data Analytics Course;1320;54280;18073;100;70;39;1732;16/11/2024;Hyderabad;Desktop;Data Analytics Course
A1938;Data Analytics Course;1980;44990;24524;270;70;35;1165;01/11/2024;Hyderabad;Tablet;Online Data Analytic
A1939;Data Analytics Course;1530;32850;22626;120;70;46;1838;21/11/2024;Hyderabad;Desktop;Online Data Analytic
A1941;Data Analytics Course;910;46000;19414;190;70;77;1255;19/11/2024;Hyderabad;Mobile;Data Analitics Online
A1942;Data Analytics Course;1540;48040;19098;210;30;19;1521;23/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1944;Data Analytics Course;860;54930;19128;180;90;105;1204;20/11/2024;Hyderabad;Tablet;Data Analytics Course
A1945;Data Analytics Course;1160;31880;23862;150;100;86;1429;14/11/2024;Hyderabad;Tablet;Online Data Analytic
A1946;Data Analytics Course;1440;35790;23797;210;100;69;1155;02/11/2024;Hyderabad;Desktop;Data Analytics Course
A1947;Data Analytics Course;1010;41980;20409;300;100;99;1642;21/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1949;Data Analytics Course;1870;31990;19329;240;60;32;1430;20/11/2024;Hyderabad;Tablet;Online Data Analytic
A1950;Data Analytics Course;1140;43330;19281;260;60;53;1722;08/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1953;Data Analytics Course;1860;46890;20431;260;60;32;1936;21/11/2024;Hyderabad;Desktop;Data Analitics Online
A1956;Data Analytics Course;1850;37190;24591;170;90;49;1218;09/11/2024;Hyderabad;Mobile;Online Data Analytic
A1957;Data Analytics Course;1620;33370;20094;110;90;56;1820;16/11/2024;Hyderabad;Mobile;Data Analytics Course
A1959;Data Analytics Course;1090;56410;22436;300;40;37;1531;13/11/2024;Hyderabad;Tablet;Analytics For Data
A1962;Data Analytics Course;1540;30990;2187;300;60;39;1366;10/11/2024;Hyderabad;Desktop;Data Analitics Online
A1963;Data Analytics Course;1060;30170;24271;240;50;3;1701;04/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1965;Data Analytics Course;840;56620;22862;250;90;107;1988;26/11/2024;Hyderabad;Desktop;Analytics For Data
A1967;Data Analytics Course;1560;47710;1993;260;80;51;1823;04/11/2024;Hyderabad;Tablet;Data Analitics Online
A1969;Data Analytics Course;1700;47860;20262;270;60;4;1372;04/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1970;Data Analytics Course;860;39640;19315;260;50;45;1639;23/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1972;Data Analytics Course;840;34540;2068;230;30;36;1573;17/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1975;Data Analytics Course;1560;32730;18936;140;60;38;1860;15/11/2024;Hyderabad;Mobile;Data Analitics Online
A1977;Data Analytics Course;1970;58660;21781;280;70;36;1331;18/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1979;Data Analytics Course;1290;48560;23013;230;70;54;1720;25/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1980;Data Analytics Course;930;40540;24473;110;80;86;1066;24/11/2024;Hyderabad;Desktop;Online Data Analytic
A1982;Data Analytics Course;1350;44300;19618;120;90;67;1374;08/11/2024;Hyderabad;Mobile;Analytics For Data
A1983;Data Analytics Course;1380;53560;20486;150;90;65;1268;22/11/2024;Hyderabad;Mobile;Online Data Analytic
A1985;Data Analytics Course;1510;53010;23206;130;90;6;1893;05/11/2024;Hyderabad;Mobile;Data Analitics Online
A1986;Data Analytics Course;1890;30310;20984;250;60;32;1936;26/11/2024;Hyderabad;Tablet;Online Data Analytic
A1988;Data Analytics Course;1780;47450;20061;120;90;51;1574;18/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1989;Data Analytics Course;1640;30240;19234;120;80;49;1997;07/11/2024;Hyderabad;Desktop;Data Analytics Course
A1990;Data Analytics Course;940;54350;23142;210;50;56;1114;03/11/2024;Hyderabad;Desktop;Data Analitics Online
A1991;Data Analytics Course;1760;30210;20453;290;70;3;1620;13/11/2024;Hyderabad;Tablet;Online Data Analytic
A1992;Data Analytics Course;1650;53350;19253;230;50;3;1402;12/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1993;Data Analytics Course;1880;40810;23705;180;80;5;1846;06/11/2024;Hyderabad;Tablet;Data Analytics Course
A1995;Data Analytics Course;1060;47380;1967;170;40;38;1515;29/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1996;Data Analytics Course;1980;41810;2184;100;80;4;1298;17/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1997;Data Analytics Course;1210;58130;20292;250;60;5;1226;14/11/2024;Hyderabad;Tablet;Data Analitics Online
A1998;Data Analytics Course;1200;43030;2028;210;40;33;1033;26/11/2024;Hyderabad;Tablet;Online Data Analytic
A1999;Data Analytics Course;1890;52010;21087;210;100;53;1560;11/11/2024;Hyderabad;Mobile;Data Analytics Course
A2001;Data Analytics Course;990;40510;20742;100;90;91;1797;14/11/2024;Hyderabad;Mobile;Analytics For Data
A2002;Data Analytics Course;1990;40800;2438;230;70;5;1507;15/11/2024;Hyderabad;Desktop;Data Anaytics Training
A2003;Data Analytics Course;1800;41400;24076;210;80;44;1248;11/11/2024;Hyderabad;Desktop;Online Data Analytic
A2004;Data Analytics Course;880;33330;19325;290;30;34;1398;14/11/2024;Hyderabad;Tablet;Data Analitics Online
